377.6666667,5.244358464,175532.8742,400,53228
389.6666667,5.247005988,176606.2171,405,51669
404.3333333,5.226742411,168555.2991,410,50110
415.6666667,5.162944485,145527.3046,415,48551
429.6666667,5.077666347,119582.1472,420,46992
441,4.977859753,95029.78643,425,45433
452.3333333,4.880014957,75860.37013,430,43874
463.6666667,4.748011784,55977.27903,435,42315
475.6666667,4.597096064,39545.4083,440,40756
489,4.554755635,35872.00361,445,39197
503,4.559355575,36253.97035,450,37979.169
514.3333333,4.712995122,51641.05691,455,35935.9269
525,4.870992419,74300.61678,460,34103.2642
537.6666667,4.936162827,86330.21592,465,32884.8202
552.3333333,4.95446627,90046.3825,470,31709.8382
565,4.895638724,78639.13423,475,31075.9379
578.3333333,4.862804588,72912.93624,480,31899.7939
590.3333333,4.828565722,67385.38631,485,33090.2161
605.6666667,4.822882729,66509.35386,490,34617.0098
621,4.866078067,73464.59139,495,35729.777
631.6666667,4.953632825,89873.74214,500,36358.5089
644.3333333,5.070837009,117716.4101,505,35729.777
657,4.960304314,91265.01176,510,34205.1039
665,4.773641748,59380.21261,515,32461.13
673,4.582425056,38231.82733,520,30592.9916
679,4.407757387,25571.56968,525,28946.5113
686.3333333,4.219822782,16589.09837,530,27565.832
712.3333333,3.367564636,2331.120027,535,26349.9931
705,3.508677531,3226.097817,540,24950.7202
699.6666667,3.666790656,4642.914179,545,23049.712
695.6666667,3.843004183,6966.332245,550,20651.4844
,,,555,18223.0843
,,,560,16473.1929
,,,565,16015.683
,,,570,15860.8463
,,,575,15738.73
,,,580,15738.73
,,,585,15165.5989
,,,590,14298.913
,,,595,13341.9184
,,,600,12878.002
,,,605,12766.169
,,,610,12766.169
,,,615,12990.8139
,,,620,13908.8874
,,,625,14806.573
,,,630,15355.2804
,,,635,15153.8582
,,,640,13803.8776
,,,645,10872.8849
,,,650,7824.77667
,,,655,5281.40319
,,,660,3706.64876
,,,665,2645.23461
,,,670,1903.16662
,,,675,1415.80821
,,,680,1203.42206
,,,685,1025.49677
,,,690,940.77301
,,,695,902.23343
,,,700,877.36806
