,wl,detector_1_pl_mean,detector_2_pl_mean,detector_3_pl_mean
0,450,0.03408925,0.11600150000000001,0.1702215
1,455,0.03875185,0.1267719,0.18519809999999998
2,460,0.04135378,0.13117199999999998,0.1906202
3,465,0.043834809999999995,0.1349356,0.1951376
4,470,0.046126719999999996,0.1382922,0.19930089999999998
5,475,0.0483258,0.1414119,0.20241349999999997
6,480,0.050395840000000004,0.14401590000000003,0.205281
7,485,0.052286860000000004,0.1456836,0.206812
8,490,0.05391167,0.14718900000000001,0.20813220000000002
9,495,0.05567981999999999,0.14875080000000002,0.2095622
10,500,0.05732296,0.1500088,0.2103569
11,505,0.05889462000000001,0.15148289999999998,0.21160220000000002
12,510,0.06021435000000001,0.15217450000000002,0.21167950000000002
13,515,0.06135336,0.1525843,0.21118489999999998
14,520,0.06182358,0.1515459,0.2092158
15,525,0.06160747999999999,0.1487708,0.20439909999999997
16,530,0.06089158,0.14512960000000003,0.1985701
17,535,0.06049266,0.1422394,0.1939209
18,540,0.060613669999999994,0.14080789999999999,0.1913353
19,545,0.06188891,0.141783,0.19212610000000002
20,550,0.06416349,0.1451986,0.19582070000000001
21,555,0.06673469000000001,0.1489122,0.20052599999999998
22,560,0.06848009,0.1517323,0.20368269999999997
23,565,0.06965408999999999,0.15242150000000002,0.2038728
24,570,0.0694258,0.15049189999999998,0.20068950000000002
25,575,0.06895156,0.1482681,0.19703790000000002
26,580,0.0710861,0.1512711,0.2005982
27,585,0.07688505,0.1619961,0.21429079999999998
28,590,0.08327641,0.173944,0.22997750000000003
29,595,0.08876238,0.18418620000000002,0.24244819999999997
30,600,0.09349537,0.1927602,0.2537275
